Manufacturer,Model Name,Device Name,Model Code,GPU,Form Factor,System on Chip,Total MEM,ABIs,OpenGL ES Versions,SDK
A1,A1 Alpha 20+,A1 Alpha 20%2B,P671F60,Mali-G72 MP3MP3,Phone,Mediatek MT6771T,3726MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Acer,Iconia One 10,B3-A50FHD,acer_ColnagoFHD,PowerVR Rogue GE8300,Tablet,Mediatek MT8167A,1946MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Acer,Iconia One 10,B3-A50,acer_Colnago,PowerVR Rogue GE8300,Tablet,Mediatek MT8167B,1966MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Acer,Iconia Tab 10,B3-A40FHD,acer_asgardfhd,PowerVR Rogue GE8300,Tablet,Mediatek MT8167B,1954MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Acer,Liquid Z6 Plus,T11,acer_t11,Mali-T720MP3,Phone,Mediatek MT6753,2918MB,arm64-v8a;armeabi;armeabi-v7a,3,23
Acer,A3-A30,A3-A30,omega,Intel(R) HD Graphics for BayTrail,Tablet,Intel Z3735F,1891MB,armeabi;armeabi-v7a;x86,3.1,21
Advance,HL9000,HL9000,HL9000,PowerVR Rogue GE8300,Phone,Mediatek MT6761,2798MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Alldocube,iPlay_20,iPlay_20,iPlay_20,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,3778MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
AllView,P9 Energy,P9_Energy,P9_Energy,Mali-T860MP2,Phone,Mediatek MT6755,3824MB,arm64-v8a;armeabi;armeabi-v7a,3,23
AllView,X7_Soul_Pro_EEA,X7_Soul_Pro,X7_Soul_Pro,Adreno (TM) 508,Phone,Qualcomm SDM630,3748MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
AllView,X6 Soul Xtreme,X6_Soul_Xtreme,X6_Soul_Xtreme,Mali-G72 MP3MP3,Phone,Mediatek MT6771,3718MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
AllView,X3 Soul Style,X3_Soul_Style,X3_Soul_Style,Mali-T720MP3,Phone,Mediatek MT6753,2878-2917MB,arm64-v8a;armeabi;armeabi-v7a,3.0;3.1,23;24
AllView,X5_Soul_Style,X5_Soul_Style,X5_Soul_Style,PowerVR Rogue GE8320,Phone,Mediatek MT6762,2828MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
AllView,X4 Soul Infinity S,X4_Soul_Infinity_S,X4_Soul_Infinity_S,Mali-T860MP2,Phone,Mediatek MT6750,2822MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
AllView,X4 Soul Infinity N,X4_Soul_Infinity_N,X4_Soul_Infinity_N,Mali-T860MP2,Phone,Mediatek MT6750,3832MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
AllView,X5 Soul Pro,X5_Soul_Pro,X5_Soul_Pro,Mali-G72 MP3MP3,Phone,Mediatek MT6771,3765MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Archos,Archos,Archos Oxygen 68XL,ac68oxxl,PowerVR Rogue GE8320,Phone,Mediatek MT6762,3072MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Archos,Archos Oxygen 57,Archos Oxygen 57,ac57ox,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,2823MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Archos,55 Diamond Selfie,BUSH SPIRA E4X,ac55diselfie,Adreno (TM) 505,Phone,Qualcomm MSM8937,3636MB,arm64-v8a;armeabi;armeabi-v7a,3.1,23
Archos,Archos Oxygen 63,Archos Oxygen 63,ac63ox,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,3831MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Archos,Archos Oxygen 101S,Archos Oxygen 101S,ac101sox,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Artel,Artel Tomchi,Artel Tomchi,Artel_Tomchi,PowerVR Rogue GE8300,Phone,Mediatek MT6761,3072MB,armeabi;armeabi-v7a,3.2,28
Artel,Artel_Premium,Artel Premium,Artel_Premium,Mali-G71MP2,Phone,Mediatek MT6763,,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Artel,Artel Quadro Pro,Artel Quadro Pro,Artel_Quadro_Pro,PowerVR Rogue GE8320,Phone,Mediatek MT6762,3805MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Asus,ZenFone 5Z (ZS620KL) (WW) / 5Z (ZS621KL) (IN),ZS620KL,ASUS_Z01R_1,Adreno (TM) 630,Phone,Qualcomm SDM845,1586-1591MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ROG Phone ll,ASUS_I001DA,ASUS_I001_1,Adreno (TM) 640,Phone,Qualcomm SM8150,3290-3400MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Asus,ZenFone 5 (ZE620KL),ASUS_X00QDA,ASUS_X00QD,Adreno (TM) 512,Phone,Qualcomm SDM636,3740-3745MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ZB601KL,ASUS_X00T_2,Adreno (TM) 512,Phone,Qualcomm SDM636,2711-2744MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 3 Laser (ZC551KL),ZC551KL,Z01B_1,Adreno (TM) 505,Phone,Qualcomm MSM8937,1853-3611MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;25;26
Asus,ZenFone 4 Max (ZC554KL),ASUS_X00ID,ASUS_X00IDB,Adreno (TM) 505,Phone,Qualcomm MSM8937,2840-2846MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;27;28
Asus,ZenFone Max M1 (ZB556KL) / ZenFone Max M1/M2/M3 (ZB555KL),ASUS_X00PD,ASUS_X00P_4,Adreno (TM) 505,Phone,Qualcomm MSM8937,2854-2859MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TDA,ASUS_X00T_2,Adreno (TM) 512,Phone,Qualcomm SDM636,2711-2744MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 3 Deluxe (ZS550KL),ASUS_Z01FD,ASUS_Z01F_1,Adreno (TM) 506,Phone,Qualcomm MSM8953,3599-3601MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ZenFone 5Z (ZS620KL) (WW) / 5Z (ZS621KL) (IN),ASUS_Z01RD,ASUS_Z01R_1,Adreno (TM) 630,Phone,Qualcomm SDM845,1586-1591MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ZB602KL,ASUS_X00T_6,Adreno (TM) 509,Phone,Qualcomm SDM636,2743-3746MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TD,ASUS_X00T_2,Adreno (TM) 509,Phone,Qualcomm SDM636,2711-2744MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ROG Phone ll,ASUS_I001DD,ASUS_I001_1,Adreno (TM) 640,Phone,Qualcomm SM8150,3290-3400MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Asus,ZenFone 3s Max (ZC521TL),ASUS_X00GD,ASUS_X00G_1,Mali-T860MP2,Phone,Mediatek MT6750,2810MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Asus,ZenFone Max M1 (ZB556KL) / ZenFone Max M1/M2/M3 (ZB555KL),ZB555KL,ASUS_X00P_3,Adreno (TM) 505,Phone,Qualcomm MSM8937,2854-2859MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TD,ASUS_X00T_3,Adreno (TM) 509,Phone,Qualcomm SDM636,1647-1649MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TD,ASUS_X00T_6,Adreno (TM) 509,Phone,Qualcomm SDM636,2743-3746MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenPad Z8s,ASUS_P00J,ASUS_P00J,Adreno (TM) 510,Tablet,Qualcomm MSM8976,2862-2863MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24;26
Asus,ZenFone 3 Ultra (ZU680KL),ASUS_A001,ASUS_A001,Adreno (TM) 510,Phone,Qualcomm MSM8976,3617MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24
Asus,ROG Phone ll,ZS660KL,ASUS_I001_1,Adreno (TM) 640,Phone,Qualcomm SM8150,3290-3400MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Asus,ZenFone 4 (ZE554KL),ASUS_Z01KD,ASUS_Z01KDA,Adreno (TM) 508,Phone,Qualcomm SDM630,3744-3748MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;26;28
Asus,ZenFone 3 Deluxe (ZS570KL),ASUS_Z016D,Z016,Adreno (TM) 530,Phone,Qualcomm MSM8996,1639-1641MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ZenFone Max Plus M2 (ZB634KL),ASUS_A001D,ASUS_A001D_1,Adreno (TM) 506,Phone,Qualcomm SDM450,2831MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28
Asus,ZenFone 5 (ZE620KL),ZE620KL,ASUS_X00QD,Adreno (TM) 512,Phone,Qualcomm SDM636,3740-3745MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ZenFone 4 Selfie Pro (ZD552KL),ZD552KL,ASUS_Z01M_1,Adreno (TM) 506,Phone,Qualcomm MSM8953,3601MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25
Asus,ZenFone 3 (ZE520KL),ASUS_Z017DC,ASUS_Z017D_1,Adreno (TM) 506,Phone,Qualcomm MSM8953,1849-3606MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ROG Phone ll,ASUS_I001D,ASUS_I001_1,Adreno (TM) 640,Phone,Qualcomm SM8150,3290-3400MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Asus,ZenFone 3 (ZE552KL),ASUS_Z012DC,ASUS_Z012D,Adreno (TM) 506,Phone,Qualcomm MSM8953,3606-3607MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ZenFone Max Pro M2 (ZB631KL) (WW) / Max Pro M2 (ZB630KL) (IN),ASUS_X01BDA,ASUS_X01BD_2,Adreno (TM) 512,Phone,Qualcomm SDM660,1643-3740MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 2 (ZE551ML),ASUS_Z00AD,Z00A_1,PowerVR Rogue G6430,Phone,Intel Z3560,1871-3907MB,armeabi;armeabi-v7a;x86,3.0;3.1,21;23
Asus,ZenFone 7 / 7 Pro (ZS670KS/ZS671KS),ASUS_I002D,ASUS_I002D,Adreno (TM) 650,Phone,Qualcomm SM8250,3573MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Asus,ZenFone 3 (ZE552KL),ASUS_Z012DE,ASUS_Z012D,Adreno (TM) 506,Phone,Qualcomm MSM8953,3606-3607MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ZenFone Lite L1 (G553KL),G553KL,ASUS_X00R_7,Adreno (TM) 505,Phone,Qualcomm MSM8937,1863-1869MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ROG Phone ll,ASUS_I001D,ASUS_I001_1,Adreno (TM) 512,Phone,Qualcomm SM8150,3290-3400MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Asus,ZenFone 4 (ZE554KL),ASUS_Z01KD,ASUS_Z01KD_3,Adreno (TM) 512,Phone,Qualcomm SDM660,3739-3742MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;26;28
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TDB,ASUS_X00T_2,Adreno (TM) 512,Phone,Qualcomm SDM636,2711-2744MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 5 (ZE620KL),ASUS_X00QD,ASUS_X00QD,Adreno (TM) 630,Phone,Qualcomm SDM636,3740-3745MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ZenFone 3 Max (ZC553KL),ZC553KL,ASUS_X00DD,Adreno (TM) 505,Phone,Qualcomm MSM8937,2858-2866MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;25;27
Asus,ROG Phone ll,ASUS_I001DB,ASUS_I001_1,Adreno (TM) 640,Phone,Qualcomm SM8150,3290-3400MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Asus,ZenFone 3 Max (ZC553KL),ASUS_X00DDB,ASUS_X00DD,Adreno (TM) 505,Phone,Qualcomm MSM8937,2858-2866MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;25;27
Asus,ZenFone 4 Max (ZC520KL),ASUS_X00HD,ASUS_X00HD_4,Adreno (TM) 505,Phone,Qualcomm MSM8937,2840-2846MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;27;28
Asus,ZenFone 3 Zoom (ZE553KL),ASUS_Z01HD,ASUS_Z01H_1,Adreno (TM) 506,Phone,Qualcomm MSM8953,3599-3601MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;25;26
Asus,ZenFone 5 (ZE620KL),ASUS_X00QSA,ASUS_X00QD,Adreno (TM) 509,Phone,Qualcomm SDM636,3740-3745MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ZenFone Max Pro M2 (ZB631KL) (WW) / Max Pro M2 (ZB630KL) (IN),ASUS_X00TD,ASUS_X01BD_2,Adreno (TM) 512,Phone,Qualcomm SDM660,1643-3740MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 3 Zoom (ZE553KL),ASUS_Z01HDA,ASUS_Z01H_1,Adreno (TM) 506,Phone,Qualcomm MSM8953,3599-3601MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;25;26
Asus,ZenFone 4 Pro (ZS551KL),ASUS_Z01GS,ASUS_Z01GD_1,Adreno (TM) 540,Phone,Qualcomm MSM8998,1636-1637MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;26
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TDB,ASUS_X00T_4,Adreno (TM) 512,Phone,Qualcomm SDM636,3745-3747MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 4 (ZE554KL),ASUS_Z01KD,ASUS_Z01KD_2,Adreno (TM) 508,Phone,Qualcomm SDM630,3744-3748MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;26;28
Asus,ZenFone Max Plus M1 (ZB570TL),ASUS_X018D,ASUS_X018_4,Mali-T860MP2,Phone,Mediatek MT6750T,2719-2779MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24;27;28
Asus,ZenFone 5 Lite (ZC600KL),ZC600KL,ASUS_X017D_2,Adreno (TM) 508,Phone,Qualcomm SDM630,3744-3751MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;28
Asus,ZenFone 3 (ZE552KL),ASUS_Z012DB,ASUS_Z012D,Adreno (TM) 506,Phone,Qualcomm MSM8953,3606-3607MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ZB602KL,ASUS_X00T_6,Adreno (TM) 512,Phone,Qualcomm SDM636,2743-3746MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 4 Selfie (ZD553KL),ASUS_X00LD,ASUS_X00LD_1,Adreno (TM) 505,Phone,Qualcomm MSM8937,3608-3614MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;27;28
Asus,ZenFone V,ASUS_A006,ASUS_A006,Adreno (TM) 530,Phone,Qualcomm MSM8996,3739-3740MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24;26
Asus,ZenPad 3S 10 (Z500M),P027,P027,PowerVR Rogue GX6250,Tablet,Mediatek MT8176A,3945-3948MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TDB,ASUS_X00T_8,Adreno (TM) 512,Phone,Qualcomm SDM636,1647-1649MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 2 (ZE551ML),ASUS_Z00AD,Z00A,PowerVR Rogue G6430,Phone,Intel Z3580,3907MB,armeabi;armeabi-v7a;x86,3.0;3.1,21;23
Asus,ROG Phone 3,ASUS_I003DD,ASUS_I003_1,Adreno (TM) 650,Phone,Qualcomm SM8250,3268-3476MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TD,ASUS_X00T_6,Adreno (TM) 512,Phone,Qualcomm SDM636,2743-3746MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 4 Max (ZC554KL),ASUS_X00ID,ASUS_X00IDC,Adreno (TM) 505,Phone,Qualcomm MSM8937,2840-2846MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;27;28
Asus,ZenFone 4 Selfie Pro (ZD552KL),ASUS_Z01MDA,ASUS_Z01M_1,Adreno (TM) 506,Phone,Qualcomm MSM8953,3601MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25
Asus,ZenFone Lite L1 (G553KL),ASUS_X00RD,ASUS_X00R_7,Adreno (TM) 505,Phone,Qualcomm MSM8937,1863-1869MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ZenFone 2 (ZE551ML),ASUS_Z00AD,Z00A_3,PowerVR Rogue G6430,Phone,Intel Z3590,3907MB,armeabi;armeabi-v7a;x86,3.0;3.1,21;23
Asus,ZenFone Max Plus M1 (ZB570TL),ASUS_X018D,ASUS_X018_2,Mali-T860MP2,Phone,Mediatek MT6750,2736-3807MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24;27;28
Asus,ZenFone Max Pro M2 (ZB631KL) (WW) / Max Pro M2 (ZB630KL) (IN),ZB631KL,ASUS_X01BD_1,Adreno (TM) 512,Phone,Qualcomm SDM660,1640-3741MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 4 (ZE554KL),ZE554KL,ASUS_Z01KDA,Adreno (TM) 508,Phone,Qualcomm SDM630,3744-3748MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;26;28
Asus,ZenFone Max M1 (ZB556KL) / ZenFone Max M1/M2/M3 (ZB555KL),ASUS_X00PD,ASUS_X00P_6,Adreno (TM) 505,Phone,Qualcomm MSM8937,2854-2859MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26;28;29
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TDE,ASUS_X00T_8,Adreno (TM) 512,Phone,Qualcomm SDM636,1647-1649MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 3 (ZE552KL),ASUS_Z012S,ASUS_Z012D,Adreno (TM) 506,Phone,Qualcomm MSM8953,3606-3607MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TD,ASUS_X00T_3,Adreno (TM) 512,Phone,Qualcomm SDM636,1647-1649MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 3 Laser (ZC551KL),ASUS_Z01BDC,Z01B_1,Adreno (TM) 505,Phone,Qualcomm MSM8937,1853-3611MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;25;26
Asus,ZenFone 4 (ZE554KL),ASUS_Z01KDA,ASUS_Z01KD_1,Adreno (TM) 512,Phone,Qualcomm SDM660,1641-1644MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;26;28
Asus,ZenFone Max Shot (ZB634KL),ASUS_A001D,ASUS_A001D_2,Adreno (TM) 506,Phone,Qualcomm SDM450,3583MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28
Asus,ZenFone 3 (ZE552KL),ZE552KL,ASUS_Z012D,Adreno (TM) 506,Phone,Qualcomm MSM8953,3606-3607MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ZenFone Max Pro M1,ASUS_X00T_2,Adreno (TM) 512,Phone,Qualcomm SDM636,2711-2744MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ROG Phone,ASUS_Z01QD,ASUS_Z01QD_1,Adreno (TM) 630,Phone,Qualcomm SDM845,3581-3590MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28
Asus,ZenFone 3 Laser (ZC551KL),ASUS_Z01BD,Z01B_1,Adreno (TM) 505,Phone,Qualcomm MSM8937,1853-3611MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;25;26
Asus,ZenPad Z10,P00I,P00I,Adreno (TM) 510,Tablet,Qualcomm MSM8956,2863-2866MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24
Asus,ZenFone 3 Max (ZC553KL),ASUS_X00DDA,ASUS_X00DD,Adreno (TM) 505,Phone,Qualcomm MSM8937,2858-2866MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;25;27
Asus,ZenFone Max Pro M2 (ZB631KL) (WW) / Max Pro M2 (ZB630KL) (IN),ASUS_X01BDA,ASUS_X01BD_1,Adreno (TM) 512,Phone,Qualcomm SDM660,1640-3741MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00TD,ASUS_X00T_2,Adreno (TM) 512,Phone,Qualcomm SDM636,2711-2744MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone AR (ZS571KL),ASUS_A002,ASUS_A002,Adreno (TM) 530,Phone,Qualcomm MSM8996Pro,1676-3680MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Asus,ZenFone 3 (ZE552KL),ASUS_Z012D,ASUS_Z012D,Adreno (TM) 506,Phone,Qualcomm MSM8953,3606-3607MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ZenFone 5 Lite (ZC600KL),ASUS_X017D,ASUS_X017D_1,Adreno (TM) 505,Phone,Qualcomm MSM8937,3519-3609MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;28
Asus,ZenFone 2 (ZE551ML),ASUS_Z00A,Z00A,PowerVR Rogue G6430,Phone,Intel Z3580,3907MB,armeabi;armeabi-v7a;x86,3.0;3.1,21;23
Asus,ZenFone 4 Pro (ZS551KL),ASUS_Z01GD,ASUS_Z01GD_1,Adreno (TM) 540,Phone,Qualcomm MSM8998,1636-1637MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;26
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ZenFone Max Pro M1,ASUS_X00T_3,Adreno (TM) 512,Phone,Qualcomm SDM636,1647-1649MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone Max Plus M1 (ZB570TL),ASUS_X018D,ASUS_X018_1,Mali-T860MP2,Phone,Mediatek MT6750,2736-3749MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24;27;28
Asus,ZenFone 3 Laser (ZC551KL),ASUS_Z01BDA,Z01B_1,Adreno (TM) 505,Phone,Qualcomm MSM8937,1853-3611MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;25;26
Asus,ROG Phone ll,ASUS_I001DE,ASUS_I001_1,Adreno (TM) 640,Phone,Qualcomm SM8150,3290-3400MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Asus,ZenFone Max M2 (ZB633KL) (WW) / Max M2 (ZB632KL) (IN),ASUS_X01AD,ASUS_X01A_1,Adreno (TM) 506,Phone,Qualcomm SDM632,2703-3577MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Asus,ZenFone 5 Lite (ZC600KL),ASUS_X017DA,ASUS_X017D_2,Adreno (TM) 508,Phone,Qualcomm SDM630,3744-3751MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;28
Asus,ROG Phone,ZS600KL,ASUS_Z01QD_1,Adreno (TM) 630,Phone,Qualcomm SDM845,3581-3590MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28
Asus,ROG Phone ll,ASUS_I001DC,ASUS_I001_1,Adreno (TM) 640,Phone,Qualcomm SM8150,3290-3400MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Asus,ZenFone Live Plus (ZB553KL),ASUS_X00LDB,ASUS_X00LD_2,Adreno (TM) 505,Phone,Qualcomm MSM8937,2840-2846MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;27;28
Asus,ROG Phone 3,ASUS_I003D,ASUS_I003_1,Adreno (TM) 650,Phone,Qualcomm SM8250,3268-3476MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Asus,ZenFone 3 Laser (ZC551KL),ASUS_Z01BDB,Z01B_1,Adreno (TM) 505,Phone,Qualcomm MSM8937,1853-3611MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;25;26
Asus,ZenPad 3S 10 LTE (Z500KL),ASUS_P00I,ASUS_P00I,Adreno (TM) 510,Tablet,Qualcomm MSM8956,3631-3634MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24
Asus,ZenPad Z8,P008,P008,Adreno (TM) 510,Phone,Qualcomm MSM8956,1870-1873MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24
Asus,ZenFone 4 Selfie Pro (ZD552KL),ASUS_Z01MD,ASUS_Z01M_1,Adreno (TM) 506,Phone,Qualcomm MSM8953,3601MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25
Asus,PadFone S (PF500KL),ASUS_T00N,ASUS_T00N,Adreno (TM) 330,Tablet,Qualcomm MSM8974AB,1854-1869MB,armeabi;armeabi-v7a,3,19;21;23
Asus,ZenFone 3 (ZE520KL),ASUS_Z017DA,ASUS_Z017D_1,Adreno (TM) 506,Phone,Qualcomm MSM8953,1849-3606MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
Asus,ZenFone 3 (ZE520KL),ASUS_Z017D,ASUS_Z017D_1,Adreno (TM) 506,Phone,Qualcomm MSM8953,1849-3606MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;24;26
