Manufacturer,Model Name,Device Name,Model Code,GPU,Form Factor,System on Chip,Total MEM,ABIs,OpenGL ES Versions,SDK
SoyMomo,SoyMomo_Pro_V1,SoyMomo_Pro_V1,Pro_V1,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,1819MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Starlight,Gionee_Star,Gionee_Star,Gionee_Star,Mali-G71MP2,Phone,Mediatek MT6763,2846MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Starlight,C_Note_Pro,C_Note_Pro,C_Note_Pro,PowerVR Rogue GE8100,Phone,Mediatek MT6739WA,2921MB,armeabi;armeabi-v7a,3.2,28
Starlight,Star_Mix_2,Star_Mix_2,Star_Mix_2,Mali-G71MP2,Phone,Mediatek MT6763,3853MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Sugar,Sugar T50,SUGAR T50,p611bn,Mali-G72 MP3MP3,Phone,Mediatek MT6771,1681MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Sugar,SUGAR S20,SUGAR S20,x600as_hk,Adreno (TM) 506,Phone,Qualcomm SDM450,3577MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Sugar,SUGAR Y15,SUGAR Y15,p201as,Adreno (TM) 505,Phone,Qualcomm MSM8937,3603MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Sugar,SUGAR Y16,SUGAR Y16,SUGAR_Y16,PowerVR Rogue GE8100,Phone,Mediatek MT6739WW,2874MB,armeabi;armeabi-v7a,3.2,27
Sugar,SUGAR S11,SUGAR S11,i9071ae,Adreno (TM) 506,Phone,Qualcomm SDM450,3598MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25
Sugar,SUGAR_Y18,SUGAR_Y18,SUGAR_Y18,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Symphony,Z25,Z25,Z25,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
